# generated by pk/render/oracle/run_svg_primitive.sh
# qt=5.15.7
# comparator=QSvgRenderer (Qt5Svg 5.15.7) + QSvgGenerator
svg-ellipse#0:nopen:fill doc=b3c1bf54 qt=fe79b90d pk=fe79b90d
svg-arc#75:s0:w-5760:nopen:fill doc=d17581a1 qt=76efddc5 pk=76efddc5
svg-arc#76:s0:w-5760:pen2.5:nofill doc=f731c4f8 qt=1e71b325 pk=1e71b325
svg-arc#77:s0:w-5760:pen2.5:fill doc=f731c4f8 qt=1e71b325 pk=1e71b325
svg-arc#78:s-480:w6400:nopen:fill doc=9baf7809 qt=76efddc5 pk=76efddc5
svg-arc#79:s-480:w6400:pen2.5:nofill doc=96c8a710 qt=53e498c6 pk=53e498c6
svg-arc#80:s-480:w6400:pen2.5:fill doc=96c8a710 qt=53e498c6 pk=53e498c6
svg-arc#81:s4320:w2880:nopen:fill doc=8d38cf59 qt=76efddc5 pk=76efddc5
svg-arc#82:s4320:w2880:pen2.5:nofill doc=97884bc0 qt=f2975a9b pk=f2975a9b
svg-arc#83:s4320:w2880:pen2.5:fill doc=97884bc0 qt=f2975a9b pk=f2975a9b
svg-arc#84:s0:w2880:nopen:fill doc=22e8e9e1 qt=76efddc5 pk=76efddc5
svg-arc#85:s0:w2880:pen2.5:nofill doc=aea9c4b8 qt=ed471ff8 pk=ed471ff8
svg-arc#86:s0:w2880:pen2.5:fill doc=aea9c4b8 qt=ed471ff8 pk=ed471ff8
svg-arc#87:s0:w5760:nopen:fill doc=3ed06916 qt=76efddc5 pk=76efddc5
svg-arc#88:s0:w5760:pen2.5:nofill doc=78058b95 qt=c62bc294 pk=c62bc294
svg-arc#89:s0:w5760:pen2.5:fill doc=78058b95 qt=c62bc294 pk=c62bc294
svg-arc#90:s0:w0:nopen:fill doc=5f955be0 qt=76efddc5 pk=76efddc5
svg-arc#91:s0:w0:pen2.5:nofill doc=4034fcaf qt=76efddc5 pk=76efddc5
svg-arc#92:s0:w0:pen2.5:fill doc=4034fcaf qt=76efddc5 pk=76efddc5
svg-arc#93:s1440:w1440:nopen:fill doc=7519db8 qt=76efddc5 pk=76efddc5
svg-arc#94:s1440:w1440:pen2.5:nofill doc=837e2f7 qt=25603e37 pk=25603e37
svg-arc#95:s1440:w1440:pen2.5:fill doc=837e2f7 qt=25603e37 pk=25603e37
svg-arc#96:s720:w-960:nopen:fill doc=efa02d36 qt=76efddc5 pk=76efddc5
svg-arc#97:s720:w-960:pen2.5:nofill doc=1c28f935 qt=d01833b pk=d01833b
svg-arc#98:s720:w-960:pen2.5:fill doc=1c28f935 qt=d01833b pk=d01833b
svg-arc#99:s0:w-5760:nopen:fill doc=81f898b2 qt=76efddc5 pk=76efddc5
svg-arc#100:s0:w-5760:pen2.5:nofill doc=c66e9679 qt=c62bc294 pk=c62bc294
svg-arc#101:s0:w-5760:pen2.5:fill doc=c66e9679 qt=c62bc294 pk=c62bc294
svg-arc#102:s-480:w6400:nopen:fill doc=3f5cf0d qt=76efddc5 pk=76efddc5
svg-arc#103:s-480:w6400:pen2.5:nofill doc=cec44c4c qt=6c26da7f pk=6c26da7f
svg-arc#104:s-480:w6400:pen2.5:fill doc=cec44c4c qt=6c26da7f pk=6c26da7f
svg-arc#105:s4320:w2880:nopen:fill doc=281bb3cd qt=76efddc5 pk=76efddc5
svg-arc#106:s4320:w2880:pen2.5:nofill doc=7de2898c qt=de7ad876 pk=de7ad876
svg-arc#107:s4320:w2880:pen2.5:fill doc=7de2898c qt=de7ad876 pk=de7ad876
svg-arc#108:s0:w2880:nopen:fill doc=24b63123 qt=76efddc5 pk=76efddc5
svg-arc#109:s0:w2880:pen2.5:nofill doc=64e66c0a qt=d25b5b30 pk=d25b5b30
svg-arc#110:s0:w2880:pen2.5:fill doc=64e66c0a qt=d25b5b30 pk=d25b5b30
svg-arc#111:s0:w5760:nopen:fill doc=b071a1b3 qt=76efddc5 pk=76efddc5
svg-arc#112:s0:w5760:pen2.5:nofill doc=bb32a6ba qt=91eeda43 pk=91eeda43
svg-arc#113:s0:w5760:pen2.5:fill doc=bb32a6ba qt=91eeda43 pk=91eeda43
svg-arc#114:s0:w0:nopen:fill doc=34ded615 qt=76efddc5 pk=76efddc5
svg-arc#115:s0:w0:pen2.5:nofill doc=8c4c3824 qt=76efddc5 pk=76efddc5
svg-arc#116:s0:w0:pen2.5:fill doc=8c4c3824 qt=76efddc5 pk=76efddc5
svg-arc#117:s1440:w1440:nopen:fill doc=282de643 qt=76efddc5 pk=76efddc5
svg-arc#118:s1440:w1440:pen2.5:nofill doc=7aa32b2a qt=e9f59dc4 pk=e9f59dc4
svg-arc#119:s1440:w1440:pen2.5:fill doc=7aa32b2a qt=e9f59dc4 pk=e9f59dc4
svg-arc#120:s720:w-960:nopen:fill doc=b70542da qt=76efddc5 pk=76efddc5
svg-arc#121:s720:w-960:pen2.5:nofill doc=19230a31 qt=270d0a41 pk=270d0a41
svg-arc#122:s720:w-960:pen2.5:fill doc=19230a31 qt=270d0a41 pk=270d0a41
svg-arc#123:s0:w-5760:nopen:fill doc=bf85d863 qt=76efddc5 pk=76efddc5
svg-arc#124:s0:w-5760:pen2.5:nofill doc=e9014ca qt=91eeda43 pk=91eeda43
svg-arc#125:s0:w-5760:pen2.5:fill doc=e9014ca qt=91eeda43 pk=91eeda43
svg-arc#126:s-480:w6400:nopen:fill doc=7f7019c5 qt=76efddc5 pk=76efddc5
svg-arc#127:s-480:w6400:pen2.5:nofill doc=84727634 qt=dcd4b056 pk=dcd4b056
svg-arc#128:s-480:w6400:pen2.5:fill doc=84727634 qt=dcd4b056 pk=dcd4b056
svg-arc#129:s4320:w2880:nopen:fill doc=534fd3b2 qt=76efddc5 pk=76efddc5
svg-arc#130:s4320:w2880:pen2.5:nofill doc=e9d0f79 qt=634bc68d pk=634bc68d
svg-arc#131:s4320:w2880:pen2.5:fill doc=e9d0f79 qt=634bc68d pk=634bc68d
svg-arc#132:s0:w2880:nopen:fill doc=3645bfe7 qt=76efddc5 pk=76efddc5
svg-arc#133:s0:w2880:pen2.5:nofill doc=878758a6 qt=e4d345e9 pk=e4d345e9
svg-arc#134:s0:w2880:pen2.5:fill doc=878758a6 qt=e4d345e9 pk=e4d345e9
svg-arc#135:s0:w5760:nopen:fill doc=cfd940f0 qt=76efddc5 pk=76efddc5
svg-arc#136:s0:w5760:pen2.5:nofill doc=b381dc9f qt=8903dad7 pk=8903dad7
svg-arc#137:s0:w5760:pen2.5:fill doc=b381dc9f qt=8903dad7 pk=8903dad7
svg-arc#138:s0:w0:nopen:fill doc=c4bd60c1 qt=76efddc5 pk=76efddc5
svg-arc#139:s0:w0:pen2.5:nofill doc=dad4e718 qt=76efddc5 pk=76efddc5
svg-arc#140:s0:w0:pen2.5:fill doc=dad4e718 qt=76efddc5 pk=76efddc5
svg-arc#141:s1440:w1440:nopen:fill doc=f8b1fce5 qt=76efddc5 pk=76efddc5
svg-arc#142:s1440:w1440:pen2.5:nofill doc=ac8dad4 qt=6dcb35ae pk=6dcb35ae
svg-arc#143:s1440:w1440:pen2.5:fill doc=ac8dad4 qt=6dcb35ae pk=6dcb35ae
svg-arc#144:s720:w-960:nopen:fill doc=4cc5009a qt=76efddc5 pk=76efddc5
svg-arc#145:s720:w-960:pen2.5:nofill doc=bf72a971 qt=c0f6f427 pk=c0f6f427
svg-arc#146:s720:w-960:pen2.5:fill doc=bf72a971 qt=c0f6f427 pk=c0f6f427
svg-arc#147:s0:w-5760:nopen:fill doc=d645011e qt=76efddc5 pk=76efddc5
svg-arc#148:s0:w-5760:pen2.5:nofill doc=5aa17a4d qt=8903dad7 pk=8903dad7
svg-arc#149:s0:w-5760:pen2.5:fill doc=5aa17a4d qt=8903dad7 pk=8903dad7
svg-arc#150:s-480:w6400:nopen:fill doc=f84338be qt=76efddc5 pk=76efddc5
svg-arc#151:s-480:w6400:pen2.5:nofill doc=a04e1ced qt=867d1e11 pk=867d1e11
svg-arc#152:s-480:w6400:pen2.5:fill doc=a04e1ced qt=867d1e11 pk=867d1e11
svg-arc#153:s4320:w2880:nopen:fill doc=5532c0 qt=76efddc5 pk=76efddc5
svg-arc#154:s4320:w2880:pen2.5:nofill doc=43317a0f qt=66a9ecf4 pk=66a9ecf4
svg-arc#155:s4320:w2880:pen2.5:fill doc=43317a0f qt=66a9ecf4 pk=66a9ecf4
svg-arc#156:s0:w2880:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#157:s0:w2880:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#158:s0:w2880:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#159:s0:w5760:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#160:s0:w5760:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#161:s0:w5760:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#162:s0:w0:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#163:s0:w0:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#164:s0:w0:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#165:s1440:w1440:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#166:s1440:w1440:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#167:s1440:w1440:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#168:s720:w-960:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#169:s720:w-960:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#170:s720:w-960:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#171:s0:w-5760:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#172:s0:w-5760:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#173:s0:w-5760:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#174:s-480:w6400:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#175:s-480:w6400:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#176:s-480:w6400:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#177:s4320:w2880:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#178:s4320:w2880:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#179:s4320:w2880:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#180:s0:w2880:nopen:fill doc=5df025be qt=76efddc5 pk=76efddc5
svg-arc#181:s0:w2880:pen2.5:nofill doc=1a35dbed qt=26333656 pk=26333656
svg-arc#182:s0:w2880:pen2.5:fill doc=1a35dbed qt=26333656 pk=26333656
svg-arc#183:s0:w5760:nopen:fill doc=4ee20d51 qt=76efddc5 pk=76efddc5
svg-arc#184:s0:w5760:pen2.5:nofill doc=2b7b7bc8 qt=346a7e05 pk=346a7e05
svg-arc#185:s0:w5760:pen2.5:fill doc=2b7b7bc8 qt=346a7e05 pk=346a7e05
svg-arc#186:s0:w0:nopen:fill doc=66c33c5 qt=76efddc5 pk=76efddc5
svg-arc#187:s0:w0:pen2.5:nofill doc=c54eb434 qt=76efddc5 pk=76efddc5
svg-arc#188:s0:w0:pen2.5:fill doc=c54eb434 qt=76efddc5 pk=76efddc5
svg-arc#189:s1440:w1440:nopen:fill doc=956ac832 qt=76efddc5 pk=76efddc5
svg-arc#190:s1440:w1440:pen2.5:nofill doc=a42eb8f9 qt=733ebdf0 pk=733ebdf0
svg-arc#191:s1440:w1440:pen2.5:fill doc=a42eb8f9 qt=733ebdf0 pk=733ebdf0
svg-arc#192:s720:w-960:nopen:fill doc=dd1216f3 qt=76efddc5 pk=76efddc5
svg-arc#193:s720:w-960:pen2.5:nofill doc=326ad27a qt=eaff1929 pk=eaff1929
svg-arc#194:s720:w-960:pen2.5:fill doc=326ad27a qt=eaff1929 pk=eaff1929
svg-arc#195:s0:w-5760:nopen:fill doc=4502699 qt=76efddc5 pk=76efddc5
svg-arc#196:s0:w-5760:pen2.5:nofill doc=3ee55480 qt=346a7e05 pk=346a7e05
svg-arc#197:s0:w-5760:pen2.5:fill doc=3ee55480 qt=346a7e05 pk=346a7e05
svg-arc#198:s-480:w6400:nopen:fill doc=1d0dca57 qt=76efddc5 pk=76efddc5
svg-arc#199:s-480:w6400:pen2.5:nofill doc=3167d476 qt=543c710 pk=543c710
svg-arc#200:s-480:w6400:pen2.5:fill doc=3167d476 qt=543c710 pk=543c710
svg-arc#201:s4320:w2880:nopen:fill doc=2d533c25 qt=76efddc5 pk=76efddc5
svg-arc#202:s4320:w2880:pen2.5:nofill doc=8a600a94 qt=2902016 pk=2902016
svg-arc#203:s4320:w2880:pen2.5:fill doc=8a600a94 qt=2902016 pk=2902016
svg-arc#204:s415:w3615:nopen:fill doc=9cff607e qt=76efddc5 pk=76efddc5
svg-arc#205:s415:w3615:pen2.5:nofill doc=cc0ec12d qt=75838cab pk=75838cab
svg-arc#206:s415:w3615:pen2.5:fill doc=cc0ec12d qt=75838cab pk=75838cab
svg-arc#207:s-415:w-2879:nopen:fill doc=31403f11 qt=76efddc5 pk=76efddc5
svg-arc#208:s-415:w-2879:pen2.5:nofill doc=4d71d208 qt=183ad6d6 pk=183ad6d6
svg-arc#209:s-415:w-2879:pen2.5:fill doc=4d71d208 qt=183ad6d6 pk=183ad6d6
svg-arc#210:s2879:w911:nopen:fill doc=73d9a22a qt=76efddc5 pk=76efddc5
svg-arc#211:s2879:w911:pen2.5:nofill doc=371e61 qt=28ec64dc pk=28ec64dc
svg-arc#212:s2879:w911:pen2.5:fill doc=371e61 qt=28ec64dc pk=28ec64dc
svg-arc#213:s0:w1455:nopen:fill doc=c4d84338 qt=76efddc5 pk=76efddc5
svg-arc#214:s0:w1455:pen2.5:nofill doc=1896f777 qt=49a9299c pk=49a9299c
svg-arc#215:s0:w1455:pen2.5:fill doc=1896f777 qt=49a9299c pk=49a9299c
svg-arc#216:s415:w3615:nopen:fill doc=4d847de1 qt=76efddc5 pk=76efddc5
svg-arc#217:s415:w3615:pen2.5:nofill doc=ce0560b8 qt=7baa2cef pk=7baa2cef
svg-arc#218:s415:w3615:pen2.5:fill doc=ce0560b8 qt=7baa2cef pk=7baa2cef
svg-arc#219:s-415:w-2879:nopen:fill doc=5c9def70 qt=76efddc5 pk=76efddc5
svg-arc#220:s-415:w-2879:pen2.5:nofill doc=9e97a41f qt=3fe82e6c pk=3fe82e6c
svg-arc#221:s-415:w-2879:pen2.5:fill doc=9e97a41f qt=3fe82e6c pk=3fe82e6c
svg-arc#222:s2879:w911:nopen:fill doc=749c1a9d qt=76efddc5 pk=76efddc5
svg-arc#223:s2879:w911:pen2.5:nofill doc=83915a3c qt=19143c1d pk=19143c1d
svg-arc#224:s2879:w911:pen2.5:fill doc=83915a3c qt=19143c1d pk=19143c1d
svg-arc#225:s0:w1455:nopen:fill doc=be474ba2 qt=76efddc5 pk=76efddc5
svg-arc#226:s0:w1455:pen2.5:nofill doc=21fde809 qt=587f3056 pk=587f3056
svg-arc#227:s0:w1455:pen2.5:fill doc=21fde809 qt=587f3056 pk=587f3056
svg-arc#228:s415:w3615:nopen:fill doc=55e9a631 qt=76efddc5 pk=76efddc5
svg-arc#229:s415:w3615:pen2.5:nofill doc=65feeea8 qt=684c7ff9 pk=684c7ff9
svg-arc#230:s415:w3615:pen2.5:fill doc=65feeea8 qt=684c7ff9 pk=684c7ff9
svg-arc#231:s-415:w-2879:nopen:fill doc=281f2383 qt=76efddc5 pk=76efddc5
svg-arc#232:s-415:w-2879:pen2.5:nofill doc=91a437ea qt=361684cd pk=361684cd
svg-arc#233:s-415:w-2879:pen2.5:fill doc=91a437ea qt=361684cd pk=361684cd
svg-arc#234:s2879:w911:nopen:fill doc=9c51e2a6 qt=76efddc5 pk=76efddc5
svg-arc#235:s2879:w911:pen2.5:nofill doc=398e0145 qt=a77a9fcf pk=a77a9fcf
svg-arc#236:s2879:w911:pen2.5:fill doc=398e0145 qt=a77a9fcf pk=a77a9fcf
svg-arc#237:s0:w1455:nopen:fill doc=51ed7a3a qt=76efddc5 pk=76efddc5
svg-arc#238:s0:w1455:pen2.5:nofill doc=8a4e7911 qt=7c9647f pk=7c9647f
svg-arc#239:s0:w1455:pen2.5:fill doc=8a4e7911 qt=7c9647f pk=7c9647f
svg-arc#240:s415:w3615:nopen:fill doc=a5cf305d qt=76efddc5 pk=76efddc5
svg-arc#241:s415:w3615:pen2.5:nofill doc=2c0e797c qt=663d6405 pk=663d6405
svg-arc#242:s415:w3615:pen2.5:fill doc=2c0e797c qt=663d6405 pk=663d6405
svg-arc#243:s-415:w-2879:nopen:fill doc=f3c16e58 qt=76efddc5 pk=76efddc5
svg-arc#244:s-415:w-2879:pen2.5:nofill doc=218eee17 qt=8f287ca1 pk=8f287ca1
svg-arc#245:s-415:w-2879:pen2.5:fill doc=218eee17 qt=8f287ca1 pk=8f287ca1
svg-arc#246:s2879:w911:nopen:fill doc=24c563c2 qt=76efddc5 pk=76efddc5
svg-arc#247:s2879:w911:pen2.5:nofill doc=f7069fa9 qt=63752b00 pk=63752b00
svg-arc#248:s2879:w911:pen2.5:fill doc=f7069fa9 qt=63752b00 pk=63752b00
svg-arc#249:s0:w1455:nopen:fill doc=cbba6545 qt=76efddc5 pk=76efddc5
svg-arc#250:s0:w1455:pen2.5:nofill doc=7fbe8cb4 qt=5529a1d1 pk=5529a1d1
svg-arc#251:s0:w1455:pen2.5:fill doc=7fbe8cb4 qt=5529a1d1 pk=5529a1d1
svg-arc#252:s415:w3615:nopen:fill doc=1b5398ad qt=76efddc5 pk=76efddc5
svg-arc#253:s415:w3615:pen2.5:nofill doc=160f4ec qt=fdf88550 pk=fdf88550
svg-arc#254:s415:w3615:pen2.5:fill doc=160f4ec qt=fdf88550 pk=fdf88550
svg-arc#255:s-415:w-2879:nopen:fill doc=d3e19ffd qt=76efddc5 pk=76efddc5
svg-arc#256:s-415:w-2879:pen2.5:nofill doc=83461c1c qt=58ba80f7 pk=58ba80f7
svg-arc#257:s-415:w-2879:pen2.5:fill doc=83461c1c qt=58ba80f7 pk=58ba80f7
svg-arc#258:s2879:w911:nopen:fill doc=f37ade36 qt=76efddc5 pk=76efddc5
svg-arc#259:s2879:w911:pen2.5:nofill doc=40eb6435 qt=75439722 pk=75439722
svg-arc#260:s2879:w911:pen2.5:fill doc=40eb6435 qt=75439722 pk=75439722
svg-arc#261:s0:w1455:nopen:fill doc=da58ceb2 qt=76efddc5 pk=76efddc5
svg-arc#262:s0:w1455:pen2.5:nofill doc=9ac879 qt=f7c63d37 pk=f7c63d37
svg-arc#263:s0:w1455:pen2.5:fill doc=9ac879 qt=f7c63d37 pk=f7c63d37
svg-arc#264:s415:w3615:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#265:s415:w3615:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#266:s415:w3615:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#267:s-415:w-2879:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#268:s-415:w-2879:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#269:s-415:w-2879:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#270:s2879:w911:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#271:s2879:w911:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#272:s2879:w911:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#273:s0:w1455:nopen:fill doc=b20d2162 qt=76efddc5 pk=76efddc5
svg-arc#274:s0:w1455:pen2.5:nofill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#275:s0:w1455:pen2.5:fill doc=e40f0f49 qt=76efddc5 pk=76efddc5
svg-arc#276:s415:w3615:nopen:fill doc=d3fd1204 qt=76efddc5 pk=76efddc5
svg-arc#277:s415:w3615:pen2.5:nofill doc=3184a3ab qt=895f7be0 pk=895f7be0
svg-arc#278:s415:w3615:pen2.5:fill doc=3184a3ab qt=895f7be0 pk=895f7be0
